id,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22
Analco," $1,630,000.00 "," $1,650,000.00 "," $1,650,000.00 "," $1,670,000.00 "," $1,670,000.00 "," $1,700,000.00 "," $1,780,000.00 "," $1,870,000.00 "," $1,870,000.00 "," $1,850,000.00 "," $1,940,000.00 "," $1,940,000.00 "," $2,010,000.00 "," $2,030,000.00 "," $2,030,000.00 "," $2,030,000.00 "," $2,040,000.00 "," $2,040,000.00 "," $2,040,000.00 "
8 de julio," $1,770,000.00 "," $1,770,000.00 "," $1,770,000.00 "," $1,330,000.00 "," $1,330,000.00 "," $1,800,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "," $1,820,000.00 "
Altavista," $1,810,000.00 "," $1,810,000.00 "," $1,730,000.00 "," $1,730,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,570,000.00 "," $1,570,000.00 "," $2,030,000.00 "," $2,210,000.00 "," $1,840,000.00 "," $2,560,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,900,000.00 "
Belisario Dominguez," $2,070,000.00 "," $2,070,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,450,000.00 "," $2,480,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "
colinas de huentitán," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $2,150,000.00 "," $1,490,000.00 "," $1,440,000.00 "," $1,440,000.00 "," $1,440,000.00 "," $1,440,000.00 "," $1,440,000.00 "," $1,440,000.00 "," $1,390,000.00 "," $1,330,000.00 "," $1,320,000.00 "
Agustín Yañez," $2,430,000.00 "," $2,430,000.00 "," $2,430,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,620,000.00 "," $1,700,000.00 "," $1,700,000.00 "," $1,700,000.00 "," $1,700,000.00 "," $1,620,000.00 "," $1,700,000.00 "," $1,770,000.00 "," $1,770,000.00 "," $1,770,000.00 "
Alcalde Barranquitas," $2,610,000.00 "," $2,610,000.00 "," $2,610,000.00 "," $2,640,000.00 "," $2,670,000.00 "," $2,720,000.00 "," $2,640,000.00 "," $2,550,000.00 "," $2,580,000.00 "," $2,560,000.00 "," $2,550,000.00 "," $2,460,000.00 "," $2,520,000.00 "," $2,510,000.00 "," $2,500,000.00 "," $2,480,000.00 "," $2,450,000.00 "," $2,450,000.00 "," $2,460,000.00 "
colinas de las aguilas," $2,650,000.00 "," $2,650,000.00 "," $2,660,000.00 "," $2,660,000.00 "," $2,660,000.00 "," $2,660,000.00 "," $2,660,000.00 "," $2,710,000.00 "," $2,800,000.00 "," $2,850,000.00 "," $2,780,000.00 "," $2,850,000.00 "," $3,100,000.00 "," $3,180,000.00 "," $3,140,000.00 "," $3,340,000.00 "," $3,340,000.00 "," $3,340,000.00 "," $3,340,000.00 "
Mirador San Isidro," $2,710,000.00 "," $2,740,000.00 "," $2,740,000.00 "," $2,740,000.00 "," $2,740,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,770,000.00 "," $2,770,000.00 "," $280,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,990,000.00 "
Las aguilas," $2,750,000.00 "," $2,780,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,800,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "," $2,750,000.00 "
Ladrón de Guevara," $2,940,000.00 "," $2,950,000.00 "," $2,970,000.00 "," $3,050,000.00 "," $3,140,000.00 "," $3,200,000.00 "," $3,200,000.00 "," $3,210,000.00 "," $3,250,000.00 "," $3,200,000.00 "," $3,150,000.00 "," $3,100,000.00 "," $3,050,000.00 "," $3,070,000.00 "," $3,050,000.00 "," $2,940,000.00 "," $2,900,000.00 "," $2,900,000.00 "," $2,870,000.00 "
Valle imperial," $3,300,000.00 "," $3,340,000.00 "," $3,340,000.00 "," $3,390,000.00 "," $3,440,000.00 "," $3,440,000.00 "," $3,540,000.00 "," $3,590,000.00 "," $3,630,000.00 "," $3,640,000.00 "," $3,690,000.00 "," $3,720,000.00 "," $3,730,000.00 "," $3,740,000.00 "," $3,790,000.00 "," $3,830,000.00 "," $3,890,000.00 "," $3,890,000.00 "," $3,900,000.00 "
C.U.," $3,300,000.00 "," $3,300,000.00 "," $3,300,000.00 "," $3,020,000.00 "," $2,750,000.00 "," $2,460,000.00 "," $2,460,000.00 "," $2,980,000.00 "," $2,980,000.00 "," $2,980,000.00 "," $2,980,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "," $2,160,000.00 "
